age_norm,quint,mean_prob,n
50-64,1,5.397741047031661e-10,5017
50-64,2,3.5571450510776645e-9,5016
50-64,3,1.2099820581335817e-8,5016
50-64,4,2.6503304307698894e-4,5016
50-64,5,7.413703923339019e-4,5016
65-74,1,7.915153009578565e-10,5040
65-74,2,5.223119291335082e-9,5040
65-74,3,1.815264586959396e-8,5040
65-74,4,3.69665094134134e-4,5039
65-74,5,0.0010943287583844614,5039
75-84,1,6.76516460488308e-9,4962
75-84,2,4.4914123554749065e-8,4962
75-84,3,1.5572786695103797e-7,4962
75-84,4,0.0033187214471817393,4962
75-84,5,0.009376928988154235,4962
≥85,1,6.681958545326793e-9,4983
≥85,2,4.454868868038145e-8,4982
≥85,3,1.5980337452195282e-7,4982
≥85,4,0.0034711471234632387,4982
≥85,5,0.00912008726387119,4982
